ID,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
39,12,Wembley Ways,Tom,Chan,9,Son,NA,Male,Student,None,NA
40,12,Wembley Ways,Jonathan,Chan,8,Son,NA,Male,Student,None,NA
41,12,Wembley Ways,Jeremy,Chan,8,Son,NA,Male,Student,None,NA
42,13,Wembley Ways,Zoe,Murray,43,Head,Single,Female,Cartographer,None,Christian
43,13,Wembley Ways,Christian,Hall,45,Partner,Single,Male,Unemployed,None,Christian
44,13,Wembley Ways,Janice,Murray,9,Daughter,NA,f,Student,None,NA
45,14,Wembley Ways,Sian,Robinson,78,Head,Widowed,Female,Retired Medical secretary,None,None
46,14,Wembley Ways,Sophie,Robinson,44,Daughter,Single,Female,Further education lecturer,None,None
47,14,Wembley Ways,Jacob,Robinson,43,Son,Single,Male,Quantity surveyor,None,None
48,14,Wembley Ways,Sharon,Robinson,40,Daughter,Single,Female,Solicitor,None,None
49,15,Wembley Ways,Joanne,Hawkins,54,Head,Single,Female,Insurance risk surveyor,None,Christian
50,15,Wembley Ways,Shane,Hayes,29,None,Single,Male,Politician's assistant,None,None
51,16,Wembley Ways,Melanie,Taylor,73,Head,Widowed,Female,"Retired Conservation officer, nature",None,Catholic
52,17,Wembley Ways,Dean,Dixon,45,Head,Married,Male,Corporate treasurer,None,Christian
53,17,Wembley Ways,Jasmine,Dixon,43,Wife,Married,Female,Product manager,None,None
54,18,Wembley Ways,Gillian,Taylor,37,Head,Widowed,Female,Unemployed,None,None
55,18,Wembley Ways,Hayley,Taylor,8,Daughter,NA,Female,Student,None,NA
56,18,Wembley Ways,Michael,Taylor,1,Son,NA,Male,Child,None,NA
57,18,Wembley Ways,Nathan,Goddard,47,Lodger,Divorced,Male,"Surveyor, building control",None,None
58,19,Wembley Ways,Colin,Elliott,44,Head,Single,Male,Oncologist,None,Catholic
59,20,Wembley Ways,Sylvia,Wilson,43,Head,Married,Female,Unemployed,None,None
60,20,Wembley Ways,Dale,Wilson,45,Husband,Married,Male,Management consultant,None,None
61,20,Wembley Ways,Colin,Wilson,12,Son,NA,Male,Student,None,NA
62,21,Wembley Ways,Francesca,Evans,67,Head,Widowed,Female,Commissioning editor,None,Catholic
63,22,Wembley Ways,Marie,Butler,84,Head,Married,Female,Retired Nutritional therapist,None,None
64,22,Wembley Ways,Kenneth,Butler,84,Husband,Married,Male,"Retired Designer, blown glass/stained glass",None,None
65,23,Wembley Ways,Chloe,Fraser,49,Head,Single,Female,Video editor,None,None
66,23,Wembley Ways,Raymond,Fraser,5,Son,NA,Male,Student,None,NA
67,23,Wembley Ways,Elaine,Fraser,2,Daughter,NA,Female,Child,None,NA
68,24,Wembley Ways,Amy,Weston,61,Head,Married,Female,Estate agent,None,Christian
69,24,Wembley Ways,Robin,Weston,64,Husband,Married,Male,Occupational therapist,None,Christian
70,24,Wembley Ways,Carly,Weston,34,Daughter,Divorced,Female,Hotel manager,None,None
71,24,Wembley Ways,Josephine,Weston,34,Daughter,Single,Female,Advertising account planner,None,None
72,24,Wembley Ways,Mathew,Weston,30,Son,Single,Male,"Engineer, aeronautical",None,Christian
73,25,Wembley Ways,Paige,Holt,33,Head,Divorced,Female,Office manager,None,Christian
74,25,Wembley Ways,Marion,Holt,8,Daughter,NA,Female,Student,None,NA
75,26,Wembley Ways,Kirsty,Griffiths,81,Head,Widowed,Female,"Retired Scientist, marine",None,Christian
76,27,Wembley Ways,Elizabeth,Allen,41,Head,Married,Female,Quantity surveyor,None,Christian
77,27,Wembley Ways,Tom,Allen,39,Husband,Married,Male,Tourist information centre manager,None,None
78,28,Wembley Ways,Jasmine,Turner,36,Head,Single,Female,"Librarian, academic",None,None
79,28,Wembley Ways,Keith,Stevenson,38,Partner,Single,Male,Television camera operator,None,None
80,28,Wembley Ways,Frances,Turner,5,Daughter,NA,Female,Student,None,NA
81,29,Wembley Ways,Jodie,Long,48,Head,Married,Female,Unemployed,None,Christian
82,29,Wembley Ways,Malcolm,Long,50,Husband,Married,Male,Air cabin crew,None,Christian
83,29,Wembley Ways,Julia,Long,16,Daughter,NA,Female,Student,None,NA
84,30,Wembley Ways,Joan,James,32,Head,Single,Female,Hydrographic surveyor,None,Methodist
85,30,Wembley Ways,Josephine,James,8,Daughter,NA,Female,Student,None,NA
86,31,Wembley Ways,Martin,Crawford,28,Head,Single,Male,Phytotherapist,None,Methodist
87,31,Wembley Ways,Patricia,Berry,26,Partner,Single,Female,Ophthalmologist,None,Methodist
88,32,Wembley Ways,Naomi,Brown,37,Head,Divorced,Female,Unemployed,None,Catholic
89,32,Wembley Ways,Jordan,Brown,7,Son,NA,Male,Student,None,NA
90,32,Wembley Ways,Yvonne,Brown,3,Daughter,NA,Female,Child,None,NA
91,32,Wembley Ways,Andrew,Brown,0,Son,NA,Male,Child,None,NA
92,32,Wembley Ways,Geraldine,Atkinson,38,Lodger,Single,Female,Museum/gallery curator,None,NA
93,32,Wembley Ways,Mohammad,Payne,19,Sibling,Single,Male,University Student,None,None
94,33,Wembley Ways,Lynne,Rice,54,Head,Single,F,Unemployed,None,Christian
95,33,Wembley Ways,Katy,Rice,18,Daughter,Widowed,Female,Student,None,None
96,33,Wembley Ways,Ashley,Rice,17,Son,NA,Male,Student,None,NA
97,34,Wembley Ways,Charlene,Edwards,52,Head,Married,Female,Paediatric nurse,None,None
98,34,Wembley Ways,Brian,Edwards,52,Husband,Married,Male,Unemployed,None,None
99,35,Wembley Ways,Harriet,Cole,25,Head,Married,Female,Contracting civil engineer,None,None
100,35,Wembley Ways,Arthur,Cole,29,Husband,Married,Male,Unemployed,None,None
101,36,Wembley Ways,Bethany,Price,47,Head,Married,Female,TEFL teacher,None,Sikh
102,36,Wembley Ways,Leonard,Price,50,Husband,Married,Male,Magazine features editor,None,Sikh
103,36,Wembley Ways,Barry,Ahmed,7,Step-Son,NA,Male,Student,None,NA
104,37,Wembley Ways,Ruth,Henry,68,Head,Married,Female,Retired Corporate investment banker,None,Christian
105,37,Wembley Ways,Denis,Henry,70,Husband,Married,Male,Retired Actuary,None,Christian
106,38,Wembley Ways,Nathan,Clarke,64,Head,Divorced,Male,Human resources officer,None,Christian
107,38,Wembley Ways,Philip,Clarke,35,Son,Widowed,Male,"Engineer, drilling",None,None
108,38,Wembley Ways,Hannah,Clarke,30,Daughter,Single,Female,Publishing copy,None,Christian
109,39,Wembley Ways,Alice,Conway,62,Head,Married,Female,"Research officer, government",None,Catholic
110,39,Wembley Ways,Patrick,Conway,62,Husband,Married,Male,Chemical engineer,None,None
111,39,Wembley Ways,Julian,Conway,32,Son,Widowed,Male,"Research officer, trade union",None,Catholic
112,39,Wembley Ways,Dominic,Conway,31,Son,Divorced,Male,"Designer, ceramics/pottery",None,Catholic
113,39,Wembley Ways,Gavin,Conway,24,Son,Single,Male,Human resources officer,None,Catholic
114,40,Wembley Ways,Beverley,NA,57,Head,Single,Female,Magazine journalist,None,Christian
115,41,Wembley Ways,Antony,Moss,37,Head,Single,Male,"Conservation officer, historic buildings",None,Catholic
116,42,Wembley Ways,Lydia,Wong,31,Head,Divorced,Female,Unemployed,None,None
117,42,Wembley Ways,Duncan,Wong,0,Son,NA,Male,Child,None,NA
118,42,Wembley Ways,Emma,Cook,49,Lodger,Single,Female,Information officer,None,None
119,43,Wembley Ways,Emily,Parkin,33,Head,Married,Female,"Designer, exhibition/display",None,Catholic
120,43,Wembley Ways,David,Parkin,29,Husband,Married,Male,Insurance broker,None,Catholic
121,43,Wembley Ways,Kenneth,Parkin,7,Son,NA,Male,Student,Disabled,NA
122,43,Wembley Ways,Reece,Parkin,3,Son,NA,Male,Child,None,NA
123,44,NA,Emily,Clark,76,Head,Widowed,Female,Retired Research scientist (medical),None,Christian
124,44,Wembley Ways,Toby,Clark,48,Son,Single,Male,Hotel manager,None,Christian
125,44,Wembley Ways,Jade,Clark,44,Daughter,Single,Female,Unemployed,None,Christian
126,44,Wembley Ways,Leslie,Clark,43,Son,Single,Male,Housing manager/officer,None,Christian
127,44,Wembley Ways,Marilyn,Clark,39,Daughter,Single,Female,"Buyer, retail",None,None
128,44,Wembley Ways,Mitchell,Clark,36,NA,Single,Male,Oceanographer,None,Christian
129,45,Wembley Ways,Jodie,Fitzgerald,79,Head,Widowed,Female,"Retired Engineer, manufacturing",None,Christian
130,46,Wembley Ways,Charlie,Smith,20,Head,Single,Male,University Student,None,Catholic
131,46,Wembley Ways,Simon,Williams,38,None,Single,Male,Advice worker,None,Methodist
132,46,Wembley Ways,Dawn,Lambert,64,None,Single,Female,Police officer,None,None
133,46,Wembley Ways,Abdul,Brown,21,None,Single,Male,University Student,None,Jewish
134,47,Wembley Ways,Paula,Wood,27,Head,Single,Female,Unemployed,None,None
135,47,Wembley Ways,John,Reid,37,None,Single,Male,Unemployed,None,Christian
136,47,Wembley Ways,Leslie,Kennedy,49,None,Single,m,"Administrator, charities/voluntary organisations",None,None
137,47,Wembley Ways,Amber,Ellis,33,None,Single,Female,Armed forces training and education officer,None,None
138,48,Wembley Ways,Lindsey,Brown,29,Head,Married,Female,Production manager,None,Catholic
139,48,Wembley Ways,Dean,Brown,30,Husband,Married,Male,Production manager,None,Catholic
140,1,Barry Port,Gail,Lucas,35,Head,Married,Female,General practice doctor,None,Christian
141,1,Barry Port,Patrick,Lucas,35,Husband,Married,Male,Accounting technician,None,None
142,1,Barry Port,Ricky,Lucas,7,Son,NA,Male,Student,None,NA
143,1,Barry Port,Clifford,Lucas,6,Son,NA,Male,Student,None,NA
144,2,Barry Port,Ross,Wallace,77,Head,Widowed,Male,"Retired Psychotherapist, child",None,Methodist
145,3,Barry Port,Lynn,Davies,40,Head,Single,Female,Travel agency manager,None,Christian
146,3,Barry Port,Tina,Davies,8,Daughter,NA,Female,Student,None,NA
147,4,Barry Port,Patrick,Lee,31,Head,Single,Male,IT consultant,None,None
148,4,Barry Port,Natasha,Stephenson,39,None,Single,Female,"Designer, exhibition/display",None,Catholic
149,4,Barry Port,Julia,Allan,47,None,Single,Female,Immigration officer,None,Methodist
150,5,Barry Port,James,Wilson,24,Head,Divorced,Male,Museum/gallery exhibitions officer,None,None
151,6,Barry Port,Katherine,Warren-Davies,74,Head,Widowed,Female,"Retired Civil engineer, consulting",None,Christian
152,6,Barry Port,Jacob,Warren-Davies,45,Son,Divorced,Male,Freight forwarder,None,None
153,7,Barry Port,Graham,Thomas,36,Head,Divorced,Male,English as a foreign language teacher,None,Catholic
154,8,Barry Port,Jordan,Rogers,42,Head,Single,Male,Unemployed,None,Catholic
155,9,Barry Port,Katherine,Bell,42,Head,Single,Female,Chief Executive Officer,None,Christian
156,10,Barry Port,Ryan,North,32,Head,Single,Male,Unemployed,None,Sikh
157,10,Barry Port,Janice,Jones,31,Partner,Single,Female,Occupational hygienist,None,Sikh
158,10,Barry Port,Joe,North,2,Son,NA,M,Child,None,NA
159,11,Barry Port,Liam,Thomas,25,Head,Married,Male,Broadcast engineer,None,Christian
160,11,Barry Port,Gillian,Thomas,21,Wife,Married,Female,University Student,None,Christian
161,12,Barry Port,Marian,Lawrence,67,Head,Widowed,Female,"Designer, interior/spatial",None,None
162,13,Barry Port,Ian,Taylor,74,Head,Married,Male,Retired Estate manager/land agent,None,Christian
163,13,Barry Port,Joan,Taylor,72,Wife,Married,Female,Retired Energy engineer,None,Christian
164,14,Barry Port,Sharon,Reed,70,Head,Married,Female,Retired Lobbyist,None,Christian
165,14,Barry Port,Daniel,Reed,76,Husband,Married,Male,Retired Radiation protection practitioner,None,Christian
166,15,Barry Port,Keith,Heath,84,Head,Widowed,Male,"Retired Engineer, petroleum",None,Christian
167,16,Barry Port,Julia,Owens,80,Head,Married,Female,Retired Comptroller,None,Christian
168,16,Barry Port,Gavin,Owens,80,Husband,Married,Male,"Retired Engineer, civil (contracting)",None,Christian
169,17,Barry Port,Stephen,Turner,82,Head,Widowed,Male,Retired Audiological scientist,None,Christian
170,17,Barry Port,Martyn,Turner,23,Grandson,Single,Male,"Teacher, secondary school",None,Christian
171,17,Barry Port,Marian,Gibson,18,Granddaughter,Single,Female,Student,None,Christian
172,18,Barry Port,Lawrence,Ward,21,Head,Single,Male,University Student,None,None
173,19,Barry Port,Frederick,Knight,55,Head,Divorced,Male,Chief Executive Officer,None,Christian
174,20,Barry Port,Roy,Price,41,Head,Single,Male,"Journalist, magazine",None,None
175,20,Barry Port,Francis,Ahmed,38,None,Single,Male,Communications engineer,None,Christian
176,20,Barry Port,Amy,Rose,57,None,Single,Female,Furniture designer,None,Christian
177,21,Barry Port,Leslie,Bolton,73,Head,Widowed,Male,Retired Arboriculturist,None,Catholic
178,22,Barry Port,Stewart,Allen,31,Head,Single,Male,Personal assistant,None,Catholic
179,23,Barry Port,Luke,Smith,62,Head,Married,Male,"Librarian, public",None,None
180,23,Barry Port,Elizabeth,Smith,59,Wife,Married,Female,Fast food restaurant manager,None,None
181,23,Barry Port,Lucy,Smith,41,Daughter,Single,Female,Community pharmacist,None,None
182,24,Barry Port,Gary,Jones,56,Head,Single,Male,Adult guidance worker,None,Christian
183,25,Barry Port,Jeremy,Mitchell,73,Head,Widowed,Male,Retired Technical brewer,None,Christian
184,26,Barry Port,Sheila,Rogers,36,Head,Divorced,Female,Telecommunications researcher,None,None
185,27,Barry Port,Norman,Frost,68,Head,Widowed,Male,"Retired Therapist, occupational",None,Methodist
186,28,Barry Port,Hugh,Andrews,69,Head,Widowed,Male,"Retired Engineer, maintenance (IT)",None,Christian
187,29,Barry Port,Georgina,Pearce,58,Head,Divorced,female,Site engineer,None,Christian
188,30,Barry Port,Sylvia,Wells,74,Head,Widowed,Female,Unemployed,None,Methodist
189,31,Barry Port,Graeme,Chan,71,Head,Married,Male,Retired IT sales professional,None,None
190,31,Barry Port,Jodie,Chan,69,Wife,Married,Female,"Retired Designer, industrial/product",None,None
191,32,Barry Port,June,Ball,85,Head,Widowed,Female,Retired Film/video editor,None,Christian
192,33,Barry Port,Elizabeth,Johnson,65,Head,Married,Female,Advertising account executive,None,Christian
193,33,Barry Port,Michael,Johnson,68,Husband,Married,Male,Retired Consulting civil engineer,None,NA
194,34,Barry Port,Georgia,Ali,72,Head,Married,Female,Retired Commercial horticulturist,None,Christian
195,34,Barry Port,Dominic,Ali,75,Husband,Married,Male,"Retired Scientist, research (life sciences)",None,Christian
196,34,Barry Port,Jill,Ali,44,Daughter,Single,Female,Stage manager,None,Christian
197,34,Barry Port,Elliot,Ali,44,Son,Divorced,Male,Water engineer,None,Christian
198,1,Welch Tunnel,Laura,Heath,53,Head,Widowed,Female,Data processing manager,None,None
199,1,Welch Tunnel,Amanda,Heath,16,Daughter,NA,Female,Student,None,NA
200,2,Welch Tunnel,Diana,Goodwin,NA,Head,Single,Female,Unemployed,None,Christian
201,2,Welch Tunnel,Amelia,Goodwin,15,Daughter,NA,Female,Student,None,NA
202,3,Welch Tunnel,Megan,Taylor,34,Head,Single,Female,Unemployed,None,Methodist
203,3,Welch Tunnel,Caroline,Taylor,4,Daughter,NA,Female,Child,None,NA
204,3,Welch Tunnel,Kate,Taylor,0,Daughter,NA,Female,Child,None,NA
205,3,Welch Tunnel,Paul,Mason,32,Visitor,Single,Male,Naval architect,None,None
206,3,Welch Tunnel,David,Mitchell,36,Sibling,Single,Male,Herbalist,None,Catholic
207,4,Welch Tunnel,Gillian,Smith,82,Head,Married,Female,Retired Automotive engineer,None,Catholic
208,4,Welch Tunnel,Martin,Smith,87,Husband,Married,Male,Retired Hydrologist,None,None
209,5,Welch Tunnel,Megan,Baldwin,68,Head,Married,Female,"Retired Engineer, energy",None,Christian
210,5,Welch Tunnel,Glenn,Baldwin,68,Husband,Married,Male,Retired Public affairs consultant,None,Christian
211,6,Welch Tunnel,NA,Walsh,18,Head,Married,Female,Student,None,NA
212,6,Welch Tunnel,Garry,Walsh,19,Husband,Married,Male,University Student,None,NA
213,7,Welch Tunnel,Marion,King,63,Head,Married,Female,"Merchandiser, retail",None,Christian
214,7,Welch Tunnel,Beverley,King,62,Wife,Married,Female,Freight forwarder,None,None
215,7,Welch Tunnel,Josephine,King,37,Daughter,Single,Female,Insurance broker,None,Christian
216,7,Welch Tunnel,Kathryn,King,33,Daughter,Single,Female,Immunologist,None,None
217,8,Welch Tunnel,Anne,George,43,Head,Married,Female,"Psychologist, sport and exercise",None,Christian
218,8,Welch Tunnel,Terence,George,45,Husband,Married,Male,Applications developer,None,Christian
219,9,Welch Tunnel,Natalie,Sims,57,Head,Single,Female,"Geologist, engineering",None,Christian
220,10,Welch Tunnel,Lauren,Ford,54,Head,Divorced,female,Administrator,None,None
221,10,Welch Tunnel,Iain,Ford,14,Son,NA,Male,Student,None,NA
222,11,Welch Tunnel,Shirley,Thomas,44,Head,Single,Female,"Physicist, medical",None,None
223,11,Welch Tunnel,Susan,Thomas,16,Daughter,NA,Female,Student,None,NA
224,11,Welch Tunnel,Sean,Thomas,12,Son,NA,Male,Student,None,NA
225,12,Welch Tunnel,Julian,Townsend,53,Head,Married,Male,Operational researcher,None,Christian
226,12,Welch Tunnel,Patricia,Wells,51,Wife,Married,Female,Manufacturing engineer,None,None
227,13,Welch Tunnel,Alexandra,Gray,73,Head,Divorced,Female,Retired Paramedic,None,None
228,14,Welch Tunnel,Dean,Ahmed,31,Head,Single,Male,Education administrator,None,None
229,14,Welch Tunnel,Megan,Jackson,31,None,Single,Female,Materials engineer,None,None
230,14,Welch Tunnel,Kathryn,Hanson,58,None,Widowed,Female,"Conservator, museum/gallery",None,Christian
231,14,Welch Tunnel,Anthony,Burton,36,None,Single,Male,Copy,Mental Disability,None
232,15,Welch Tunnel,Angela,Freeman,55,Head,Divorced,F,Catering manager,None,Christian
233,15,Welch Tunnel,Gemma,Freeman,27,Daughter,Single,Female,PhD Student,None,None
234,16,Welch Tunnel,Jake,Robertson,52,Head,Married,Male,Holiday representative,None,Christian
235,16,Welch Tunnel,Denise,Robertson,46,Wife,Married,Female,Higher education careers adviser,None,Christian
236,16,Welch Tunnel,Robert,Robertson,12,Son,NA,Male,Student,None,NA
237,17,Welch Tunnel,Rachael,Campbell,70,Head,Married,Female,"Retired Engineer, production",None,Muslim
238,17,Welch Tunnel,John,Campbell,71,Husband,Married,Male,"Retired Education officer, community",None,Muslim
239,18,Welch Tunnel,Emma,Shaw,72,Head,Widowed,Female,Retired Travel agency manager,None,Christian
240,19,Welch Tunnel,Tracey,Akhtar,19,Head,Married,Female,University Student,None,Catholic
241,19,Welch Tunnel,Jonathan,Akhtar,20,Husband,Married,Male,University Student,None,None
242,19,Welch Tunnel,Elaine,Akhtar,2,Daughter,NA,Female,Child,None,NA
243,19,Welch Tunnel,Chloe,Akhtar,1,Daughter,NA,Female,Child,None,NA
244,19,Welch Tunnel,Gail,Akhtar,0,Daughter,NA,Female,Child,None,NA
245,20,Welch Tunnel,Nicole,Singh,69,Head,Divorced,Female,Retired Marketing executive,None,Christian
246,21,Welch Tunnel,Annette,Nixon,73,Head,Married,Female,Retired Landscape architect,None,None
247,21,Welch Tunnel,Eric,Nixon,76,Husband,Married,Male,Retired Product designer,None,None
248,21,Welch Tunnel,Richard,Nixon,45,Son,Single,Male,Broadcast presenter,None,None
249,21,Welch Tunnel,Mohammad,Nixon,41,Son,Single,Male,Community education officer,None,None
250,21,Welch Tunnel,Rebecca,Nixon,38,Daughter,Single,Female,Production engineer,None,None
251,22,Welch Tunnel,Suzanne,Elliott,37,Head,Single,Female,Environmental manager,None,None
252,22,Welch Tunnel,Shirley,Elliott,10,Daughter,NA,Female,Student,None,NA
253,22,Welch Tunnel,Leigh,Elliott,8,Son,NA,Male,Student,None,NA
254,23,Welch Tunnel,Max,Williams,80,Head,Married,Male,"Retired Surveyor, hydrographic",None,None
255,23,Welch Tunnel,Carly,Williams,78,Wife,Married,Female,Retired Web designer,None,None
256,24,Welch Tunnel,Howard,Jones,41,Head,Married,Male,Insurance risk surveyor,None,Christian
257,24,Welch Tunnel,Lesley,Jones,35,Wife,Married,Female,Unemployed,None,Christian
258,25,Welch Tunnel,Sylvia,Riley,56,Head,Married,Female,Nature conservation officer,None,None
259,25,Welch Tunnel,Julian,Riley,58,Husband,Married,Male,Television floor manager,None,None
260,25,Welch Tunnel,Lee,Lee-Riley,35,Son,Single,Male,Quarry manager,None,None
261,25,Welch Tunnel,Jessica,Lee-Riley,34,Daughter,Single,Female,Unemployed,None,None
262,26,Welch Tunnel,Timothy,Reed,30,Head,Divorced,Male,Geophysical data processor,None,None
263,26,Welch Tunnel,Elaine,Reed,1,Daughter,NA,Female,Child,None,NA
264,26,Welch Tunnel,Lucy,Shaw,43,Lodger,Single,Female,Fitness centre manager,None,Catholic
265,27,Welch Tunnel,Sylvia,Kaur,30,Head,Married,Female,"Merchandiser, retail",None,None
266,27,Welch Tunnel,Gerald,Kaur,33,Husband,Married,Male,"Producer, radio",None,None
267,27,Welch Tunnel,Angela,Kaur,3,Daughter,NA,Female,Child,None,NA
268,27,Welch Tunnel,Annette,Kaur,2,Daughter,NA,Female,Child,None,NA
269,27,Welch Tunnel,Christine,Kaur,1,Daughter,NA,Female,Child,None,NA
270,28,Welch Tunnel,Kieran,Thomas,73,Head,Married,Male,Retired Animal technologist,None,None
271,28,Welch Tunnel,Janet,Thomas,74,Wife,Married,Female,Retired Insurance underwriter,None,None
272,29,Welch Tunnel,Geraldine,Pope,39,Head,Married,Female,Sports development officer,None,None
273,29,Welch Tunnel,Ricky,Pope,41,NA,Married,Male,Unemployed,None,None
274,29,Welch Tunnel,Russell,Pope,10,Son,NA,Male,Student,None,NA
275,29,Welch Tunnel,Jean,Pope,9,Daughter,NA,Female,Student,None,NA
276,29,Welch Tunnel,Janice,Pope,8,Daughter,NA,Female,Student,None,NA
277,30,Welch Tunnel,Steven,Conway,20,Head,Single,Male,University Student,None,Catholic
278,30,Welch Tunnel,Simon,Weston,21,None,Single,Male,University Student,None,Methodist
279,31,Welch Tunnel,Tina,Birch,47,Head,Divorced,Female,"Accountant, chartered",None,Christian
280,32,Welch Tunnel,Laura,Booth,64,Head,Single,Female,Clinical biochemist,None,Catholic
281,32,Welch Tunnel,Stephen,Daniels,65,Partner,Single,Male,"Engineer, land",None,None
282,33,Welch Tunnel,Eleanor,Johnston,44,Head,Single,Female,"Scientist, water quality",None,Methodist
283,33,Welch Tunnel,Nigel,Chambers,44,Partner,Single,Male,Conference centre manager,None,None
284,33,Welch Tunnel,Hollie,Johnston,16,Daughter,NA,Female,Student,Physical Disability,NA
285,33,Welch Tunnel,Anne,Johnston,15,Daughter,NA,Female,Student,None,NA
286,33,Welch Tunnel,Joseph,Johnston,14,Son,NA,Male,Student,None,NA
287,34,Welch Tunnel,Rosie,Cox,57,Head,Married,Female,Emergency planning/management officer,None,Christian
288,34,Welch Tunnel,Mohamed,Cox,57,Husband,Married,Male,"Restaurant manager, fast food",None,None
289,34,Welch Tunnel,Pamela,Cox,28,Daughter,Divorced,Female,Sports coach,None,None
290,34,Welch Tunnel,Sylvia,Cox,26,Daughter,Single,Female,Orthoptist,None,None
291,34,Welch Tunnel,Reece,Pope-Cox,6,Son,NA,Male,Student,None,NA
292,35,Welch Tunnel,Jamie,Anderson,78,Head,Widowed,Male,"Retired Presenter, broadcasting",None,None
293,36,Welch Tunnel,Marion,Kay,97,NA,Married,Female,Retired Games developer,None,Christian
294,36,NA,Alexander,Kay,99,Husband,Married,Male,Retired Medical secretary,None,Christian
295,37,Welch Tunnel,Gerard,Warner,41,Head,Single,Male,"Nurse, mental health",None,Christian
296,38,Welch Tunnel,Diane,Watson,40,Head,Single,Female,Optometrist,None,None
297,38,Welch Tunnel,Christopher,North,41,Partner,Single,Male,Scientific laboratory technician,None,None
298,38,Welch Tunnel,Kevin,Watson,10,Son,NA,Male,Student,None,NA
299,38,Welch Tunnel,Chelsea,Watson,10,Daughter,NA,Female,Student,None,NA
300,39,Welch Tunnel,Abigail,Chapman,30,Head,Married,Female,"Administrator, charities/voluntary organisations",None,None
301,39,Welch Tunnel,James,Chapman,28,Husband,Married,Male,Brewing technologist,None,None
302,40,Welch Tunnel,Lynn,Bailey,29,Head,Divorced,Female,Airline pilot,None,Methodist
303,40,Welch Tunnel,Ross,Dixon,43,None,Single,Male,Unemployed,None,Christian
